Symbols,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,maxAge,revenuePerShare,quickRatio,recommendationMean
SAIA,0.22648,0.12958999,0.27203,450356992,0.305,0.17021,597928000,185,buy,593387000,52513124,242.5,202.25,0.752,1.582,0.15201001,16,242.13,10.47,0.27738002,285,137871008,146972000,2640067072,5.237,USD,86400,99.957,1.487,2.3
SANG,0.05856,-0.49378,0.69929004,21057000,0.247,-0.02463,13139000,13,strong_buy,156888000,40491376,14,5.38,,0.778,-0.00665,2,14,41.733,-0.33071,15,12702000,122614000,224352000,0.57,USD,86400,7.128,0.483,1.5
SEDG,0.09871,0.057779998,0.28224,65787000,0.516,0.08051,242948992,67,buy,629318000,-273448128,378.5,207.84,-0.673,3.731,0.03909,26,357.5,35.897,0.08873,428,895793024,727833024,2461172992,16.101,USD,86400,46.085,2.556,2
SGEN,-0.37517,-0.41611,0.1047,-589819008,0.281,-0.41409,-666995968,150,buy,34134000,-352225248,186.5,130.95,,4.566,-0.12136,20,184.95,2.179,-0.23396,220,1850322048,63905000,1777873024,10.032,USD,86400,9.699,3.764,2.2
SGML,0,0,0,-8028435,,0,-51344192,27,buy,,-21292076,37.25,28.57,,13.058,-0.24622999,5,37.42,0.141,-0.47431,50.37,123285000,252000,,1.224,CAD,86400,,12.92,1.6
SITM,0.22378,0.18311001,0.66469,84025000,0.785,0.19032,64547000,130,buy,139462000,33718000,220,80.11,4.7,15.15,0.064229995,5,210,1.647,0.107329994,250,580291008,11202000,288440992,27.261,USD,86400,14.195,14.192,1.7
SLP,0.32117,0.22738001,0.78986,18246000,0.171,0.27668,16705000,56,buy,35866000,6391375,65,48.3,0.111,24.489,0.049239997,4,65.25,0.861,0.068969995,75,122473000,1528000,52013000,6.052,USD,86400,2.579,24.152,2
SMMF,0,0.37082002,0,62535000,0.075,0.49475,,30.5,buy,126140000,,31.75,26.73,0.15,,0.013789999,2,31.75,,0.14952,33,81053000,414758016,130860000,6.349,USD,86400,10.187,,2.5
SNPS,0.26801002,0.20861,0.80700994,1715954048,0.18,0.23542,1326562048,348.5,buy,3390877000,1503822080,420,292.98,0.126,1.139,0.08176,15,411.23,11.838,0.19025,455,1531158016,669059968,4949668864,10.013,USD,86400,32.341,0.98,1.7
SRPT,-0.47492,-0.60661,-0.085889995,-321644992,0.423,-0.52418,-396647008,93,buy,-165844000,9941125,126,108.7,,4.526,-0.09507,19,132.37,159.219,-0.83632004,193,1928018944,1156657024,835184000,22.017,USD,86400,9.808,3.956,1.9
SSNT,0.0003,-0.0177,0.40287,579550,0.04,-0.02431,12650,,buy,17208058,1784969,,3.58,,1.382,-0.033350002,,,31.796,-0.06826,,5873674,2963465,42254620,1.144,USD,86400,8.225,1.176,2
TCX,0.061690003,-0.02089,0.3387,30016000,0.106,-0.04,19898000,150.76,buy,96529000,-47528124,150.76,40.59,,0.362,-0.01496,1,150.76,214.39,-0.060060002,150.76,6510000,243332992,322552000,0.604,USD,86400,30.064,0.074,2
TSLA,0.20889,0.14168,0.27099,14078000128,0.416,0.16139,14030000128,24.33,buy,13606000000,5962749952,329.17,222.96,0.907,1.431,0.10957,38,298.42,17.699,0.2989,461,18915000320,6664999936,67165999104,6.036,USD,86400,21.928,0.968,2.3
TTD,0.05825,0.024300002,0.81884,531030016,0.346,0.02864,80901000,40,buy,974913000,492314496,78,54.83,,1.92,0.00769,20,77.42,15.037,0.02264,110,1213142016,267628000,1388973952,2.485,USD,86400,2.879,1.871,2
TTGT,0.24494,0.046279997,0.74992996,96257000,0.238,0.17902,71962000,73,buy,195274000,83453376,83.5,64.33,1.223,6.542,0.05128,8,86.63,201.328,0.06292,116,394051008,479971008,293788000,13.354,USD,86400,10.068,6.455,2
TVTX,-0.68038005,-1.00918,0.96635,-86940000,-0.008,-0.80804,-155208000,17,buy,220706000,-60754248,36.5,23.47,,4.713,-0.15097,10,35.3,260.458,-0.94154,45,553172992,408172000,228120000,8.649,USD,86400,3.661,4.577,1.8
VIVK,0,0,0.03418,-3656862,,-8.796,-6876291,,none,37752,-2467690,,1.06,,1.29,-0.10416,,,28.409,-0.39256,,7022620,9619713,971428,0.389,USD,86400,0.073,1.048,
ZIVO,0,0,0,-7870342,,0,,,buy,,-4363464,,3.325,,2.077,-0.68612,,,27.657,-1.7787,,5083720,832590,,0.54,USD,86400,,1.885,2
ZYXI,0.19986999,0.13793,0.80311996,12805000,0.185,0.18114,28580000,7,buy,103379000,9723750,15.5,8.71,0.143,3.752,0.15928,4,16.63,44.907,0.31231,28.5,26877000,30990000,142994000,0.7,USD,86400,3.684,2.906,2
