Symbols,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,maxAge,revenuePerShare,quickRatio,recommendationMean
EPAM,0.16803,0.08207,0.33363998,516331008,0.356,0.14758,749828992,406,buy,1274447000,479804640,485,325.42,-0.835,3.446,0.12615,15,484.4,7.963,0.15145001,550,1353616000,208938000,4462477824,23.596,USD,86400,78.438,3.334,1.7
FTNT,0.21537,0.17663999,0.75257003,1485100032,0.286,0.18948,821800000,58.2,buy,2559200000,830962496,70,51.23,0.312,1.121,0.08327,30,70.94,,2.00924,85,1754899968,989400000,3815699968,2.226,USD,86400,4.724,1.015,1.9
LRCX,0.33178002,0.26733,0.45694,3099674112,0.118,0.31241,5715560960,405,buy,7871807000,1622742400,544,350.72,0.095,2.691,0.20332001,22,545.27,83.215,0.74849,700,3657732096,5224552960,17227038720,26.701,USD,86400,123.139,1.746,2.2
MOH,0.04461,0.02555,0.121929996,1788999936,0.185,0.04087,1312999936,315,hold,3280000000,591000000,362.5,350.45,0.345,1.43,0.06509,16,358.19,84.488,0.28923,390,7879000064,2391000064,29435000832,135.611,USD,86400,508.377,1.401,2.6
MPWR,0.28972,0.22398001,0.5805,358663008,0.572,0.26655,434214016,530,buy,685459000,185196624,569.5,344.34,1.043,5.234,0.15809,8,568.63,0.354,0.26743,600,811878976,5037000,1498744064,17.352,USD,86400,32.369,3.711,1.8
MSCI,0.57444,0.36846,0.8214,952428032,0.108,0.53529,1251518976,444,buy,1684860000,852688000,505,406.92,0.302,1.329,0.15147,11,504,,,560,842300032,4669081088,2178692096,10.463,USD,86400,26.614,1.276,2.4
NFLX,0.20075001,0.16419001,0.40634,704694016,0.086,0.19132,6229276160,157,hold,12365161000,16699799552,240,229.98,0.077,1.045,0.084989995,37,244.24,88.641,0.30934,330,5819448832,16909057024,31030693888,13.086,USD,86400,69.931,0.878,2.7
NOW,0.10226,0.02787,0.77533996,2460000000,0.243,0.03303,675000000,325,buy,4543000000,2406000128,550,381.78,-0.657,1.124,0.01343,34,557.15,51.121,0.04927,850,3833999872,2144000000,6600999936,19.017,USD,86400,33.047,0.988,1.8
NVDA,0.35914,0.26031,0.60451,7552999936,0.03,0.31478,10680000512,110,buy,17475000000,6692250112,200,116.7,-0.723,3.62,0.14248,41,196.75,49.629,0.34405997,320,17036999680,11836999680,29738000384,6.842,USD,86400,11.888,2.952,2.1
ODFL,0.32432,0.20774001,0.38573003,1520368000,0.264,0.27953,1937838976,260,hold,2000794000,658114368,281,267.85,0.429,1.925,0.22381,18,286.56,2.811,0.35678002,350,420524992,99955000,5975132160,3.762,USD,86400,52.21,1.786,2.8
PAYC,0.2926,0.18847,0.8756,341876992,0.309,0.25628,354523008,339,buy,925049000,252987376,400,323.98,0.099,1.078,0.04777,18,402.28,2.917,0.25566,457,279039008,29000000,1211623040,4.822,USD,86400,20.896,0.084,2
POOL,0.17784001,0.13166,0.31752002,154992992,0.15,0.17197001,1051993024,360,buy,1617092000,-37800624,415,322.75,0.198,2.773,0.20589,9,415.44,151.238,0.74039,465,116309000,1858803968,5915472896,2.938,USD,86400,149.046,0.98,2.3
REGN,0.51851004,0.39972,0.6326,8452199936,-0.444,0.49768,7376799744,575,buy,10726100000,6238974976,760,730.92,-0.733,5.119,0.18177,23,759.65,13.055,0.31756002,970,7566400000,2700699904,14226799616,70.775,USD,86400,133.272,4.195,2.3
SEDG,0.09871,0.057779998,0.28224,65787000,0.516,0.08051,242948992,67,buy,629318000,-273448128,378.5,207.84,-0.673,3.731,0.03909,26,357.5,35.897,0.08873,428,895793024,727833024,2461172992,16.101,USD,86400,46.085,2.556,2
SNPS,0.26801002,0.20861,0.80700994,1715954048,0.18,0.23542,1326562048,348.5,buy,3390877000,1503822080,420,292.98,0.126,1.139,0.08176,15,411.23,11.838,0.19025,455,1531158016,669059968,4949668864,10.013,USD,86400,32.341,0.98,1.7
STZ,0.37410998,0.01107,0.52347,2833799936,0.12,0.33560002,3532100096,238,buy,4711000000,712574976,276,221.24,,1.405,0.07982,21,274.9,112.762,0.013660001,310,165100000,10950200320,9441399808,0.895,USD,86400,50.248,0.455,2
TMO,0.29787,0.17372999,0.46658,8837000192,0.183,0.22767,12755000320,525,buy,19638000000,5612125184,667.5,510.84,-0.085,1.646,0.07699,22,658.32,71.249,0.18783002,715,1888000000,30260000768,42820001792,4.819,USD,86400,108.957,0.98,1.9
TSLA,0.20889,0.14168,0.27099,14078000128,0.416,0.16139,14030000128,24.33,buy,13606000000,5962749952,329.17,222.96,0.907,1.431,0.10957,38,298.42,17.699,0.2989,461,18915000320,6664999936,67165999104,6.036,USD,86400,21.928,0.968,2.3
TYL,0.18771,0.09838,0.42308,450616992,0.16,0.13539,341300992,403,buy,709644000,392649632,460,343.54,0.541,1.148,0.03264,16,459.39,53.267,0.07835,520,287528000,1309469056,1818201984,6.915,USD,86400,44.113,1.064,2
WST,0.31175,0.2341,0.40800998,675200000,0.066,0.26938,913000000,330,buy,1175800000,268312496,387.5,245.82,0.004,3.134,0.15665,6,383.17,13.715,0.30765,449,718499968,332500000,2928600064,9.703,USD,86400,39.257,2.207,2.1
